Feature,Coefficient
Age,0.64553
customer_age_group_45-59,0.370491
Geography_Germany,0.322664
Balance,0.096545
balance_category_Medium,0.063611
EstimatedSalary,0.050422
Tenure,-0.000258
Geography_Spain,-0.006137
balance_category_Low,-0.006907
HasCrCard,-0.008434
customer_age_group_30-44,-0.00983
NumOfProducts,-0.018319
CustomerId,-0.023797
balance_category_Zero,-0.032511
RowNumber,-0.041755
CreditScore,-0.086455
customer_age_group_60+,-0.172485
Gender_Male,-0.238606
IsActiveMember,-0.481318
